continent,airport,year,month,flight_count
Asia,VHHH,2020,12,6378
Asia,VIDP,2020,1,17496
Asia,VIDP,2020,2,16725
Asia,VIDP,2020,3,13080
Asia,VIDP,2020,4,538
Asia,VIDP,2020,5,1862
Asia,VIDP,2020,6,5739
Asia,VIDP,2020,7,6254
Asia,VIDP,2020,8,6768
Asia,VIDP,2020,9,5254
Asia,VIDP,2020,10,9672
Asia,VIDP,2020,11,10012
Asia,VIDP,2020,12,11941
Asia,ZGSZ,2020,1,11728
Asia,ZGSZ,2020,2,4583
Asia,ZGSZ,2020,3,7010
Asia,ZGSZ,2020,4,7852
Asia,ZGSZ,2020,5,10953
Asia,ZGSZ,2020,6,11732
Asia,ZGSZ,2020,7,10885
Asia,ZGSZ,2020,8,10215
Asia,ZGSZ,2020,9,10694
Asia,ZGSZ,2020,10,13069
Asia,ZGSZ,2020,11,13389
Asia,ZGSZ,2020,12,14259
Asia,OMDB,2021,1,8096
Asia,OMDB,2021,2,6206
Asia,OMDB,2021,3,8196
Asia,OMDB,2021,4,7978
Asia,OMDB,2021,5,7187
Asia,OMDB,2021,6,7569
Asia,OMDB,2021,7,7207
Asia,OMDB,2021,8,8663
Asia,OMDB,2021,9,8659
Asia,OMDB,2021,10,10526
Asia,OMDB,2021,11,1599
Asia,OMDB,2021,12,685
Asia,RJTT,2021,1,8904
Asia,RJTT,2021,2,5973
Asia,RJTT,2021,3,9294
Asia,RJTT,2021,4,11153
Asia,RJTT,2021,5,9975
Asia,RJTT,2021,6,9964
Asia,RJTT,2021,7,11439
Asia,RJTT,2021,8,12292
Asia,RJTT,2021,9,10310
Asia,RJTT,2021,10,11599
Asia,RJTT,2021,11,13229
Asia,RJTT,2021,12,15826
Asia,VHHH,2021,1,5665
Asia,VHHH,2021,2,4310
Asia,VHHH,2021,3,5330
Asia,VHHH,2021,4,5317
Asia,VHHH,2021,5,5379
Asia,VHHH,2021,6,5568
Asia,VHHH,2021,7,5865
Asia,VHHH,2021,8,5891
Asia,VHHH,2021,9,6141
Asia,VHHH,2021,10,2805
Asia,VHHH,2021,11,3866
Asia,VHHH,2021,12,3660
Asia,VIDP,2021,1,13162
Asia,VIDP,2021,2,12677
Asia,VIDP,2021,3,13790
Asia,VIDP,2021,4,12424
Asia,VIDP,2021,5,6603
Asia,VIDP,2021,6,7457
Asia,VIDP,2021,7,10052
Asia,VIDP,2021,8,12169
Asia,VIDP,2021,9,12346
Asia,VIDP,2021,10,14930
Asia,VIDP,2021,11,16495
Asia,VIDP,2021,12,18180
Asia,ZGSZ,2021,1,10887
Asia,ZGSZ,2021,2,7575
Asia,ZGSZ,2021,3,10945
Asia,ZGSZ,2021,4,8536
Asia,ZGSZ,2021,5,6012
Asia,ZGSZ,2021,6,3676
Asia,ZGSZ,2021,7,4369
Asia,ZGSZ,2021,8,4177
Asia,ZGSZ,2021,9,6043
Asia,ZGSZ,2021,10,4809
Asia,ZGSZ,2021,11,4459
Asia,ZGSZ,2021,12,5235
Asia,OMDB,2022,1,10915
Asia,OMDB,2022,2,11618
Asia,OMDB,2022,3,13852
Asia,OMDB,2022,4,12865
Asia,OMDB,2022,5,10654
Asia,RJTT,2022,1,15858
Asia,RJTT,2022,2,10433
Asia,RJTT,2022,3,13752
Asia,RJTT,2022,4,14486
Asia,RJTT,2022,5,15611
Asia,VHHH,2022,1,3117
Asia,VHHH,2022,2,2022
Asia,VHHH,2022,3,2707
Asia,VHHH,2022,4,2900
Asia,VHHH,2022,5,2720
Asia,VIDP,2022,1,13365
Asia,VIDP,2022,2,12732
Asia,VIDP,2022,3,16819
Asia,VIDP,2022,4,17064
Asia,VIDP,2022,5,17323
Asia,ZGSZ,2022,1,3881
Asia,ZGSZ,2022,2,4096
Asia,ZGSZ,2022,3,1226
Asia,ZGSZ,2022,4,599
Asia,ZGSZ,2022,5,2
Europe,EDDF,2019,1,15784
Europe,EDDF,2019,2,15821
Europe,EDDF,2019,3,16773
Europe,EDDF,2019,4,16847
Europe,EDDF,2019,5,18268
Europe,EDDF,2019,6,18081
Europe,EDDF,2019,7,18776
Europe,EDDF,2019,8,18938
Europe,EDDF,2019,9,18557
Europe,EDDF,2019,10,19266
Europe,EDDF,2019,11,16158
Europe,EDDF,2019,12,15317
Europe,EGLL,2019,1,15575
Europe,EGLL,2019,2,17355
Europe,EGLL,2019,3,19579
Europe,EGLL,2019,4,19612
Europe,EGLL,2019,5,20097
Europe,EGLL,2019,6,19626
Europe,EGLL,2019,7,20437
Europe,EGLL,2019,8,20138
Europe,EGLL,2019,9,17880
Europe,EGLL,2019,10,20123
Europe,EGLL,2019,11,18501
