continent,airport,year,month,flight_count
Asia,OMDB,2020,11,6839
Asia,OMDB,2020,12,8025
Asia,RJTT,2020,1,9488
Asia,RJTT,2020,2,9374
Asia,RJTT,2020,3,8974
Asia,RJTT,2020,4,4195
Asia,RJTT,2020,5,1942
Asia,RJTT,2020,6,3700
Asia,RJTT,2020,7,7082
Asia,RJTT,2020,8,8376
Asia,RJTT,2020,9,7636
Asia,RJTT,2020,10,8232
Asia,RJTT,2020,11,10436
Asia,RJTT,2020,12,12499
Asia,VHHH,2020,1,14209
Asia,VHHH,2020,2,8603
Asia,VHHH,2020,3,5857
Asia,VHHH,2020,4,4841
Asia,VHHH,2020,5,5736
Asia,VHHH,2020,6,5081
Asia,VHHH,2020,7,4883
Asia,VHHH,2020,8,4939
Asia,VHHH,2020,9,5288
Asia,VHHH,2020,10,5515
Asia,VHHH,2020,11,6304
Asia,VHHH,2020,12,6317
Asia,VIDP,2020,1,17430
Asia,VIDP,2020,2,17927
Asia,VIDP,2020,3,13169
Asia,VIDP,2020,4,501
Asia,VIDP,2020,5,1772
Asia,VIDP,2020,6,5535
Asia,VIDP,2020,7,5935
Asia,VIDP,2020,8,6370
Asia,VIDP,2020,9,5094
Asia,VIDP,2020,10,9404
Asia,VIDP,2020,11,9715
Asia,VIDP,2020,12,11711
Asia,ZGSZ,2020,1,10895
Asia,ZGSZ,2020,2,3833
Asia,ZGSZ,2020,3,6292
Asia,ZGSZ,2020,4,6335
Asia,ZGSZ,2020,5,9146
Asia,ZGSZ,2020,6,10517
Asia,ZGSZ,2020,7,12151
Asia,ZGSZ,2020,8,12311
Asia,ZGSZ,2020,9,11913
Asia,ZGSZ,2020,10,11214
Asia,ZGSZ,2020,11,10528
Asia,ZGSZ,2020,12,9464
Asia,OMDB,2021,1,7647
Asia,OMDB,2021,2,5918
Asia,OMDB,2021,3,7748
Asia,OMDB,2021,4,7431
Asia,OMDB,2021,5,6641
Asia,OMDB,2021,6,6897
Asia,OMDB,2021,7,6570
Asia,OMDB,2021,8,7881
Asia,OMDB,2021,9,7743
Asia,OMDB,2021,10,9423
Asia,OMDB,2021,11,1036
Asia,OMDB,2021,12,612
Asia,RJTT,2021,1,8890
Asia,RJTT,2021,2,5908
Asia,RJTT,2021,3,9197
Asia,RJTT,2021,4,11026
Asia,RJTT,2021,5,9820
Asia,RJTT,2021,6,9804
Asia,RJTT,2021,7,11174
Asia,RJTT,2021,8,12043
Asia,RJTT,2021,9,10147
Asia,RJTT,2021,10,11706
Asia,RJTT,2021,11,12972
Asia,RJTT,2021,12,15668
Asia,VHHH,2021,1,5632
Asia,VHHH,2021,2,4283
Asia,VHHH,2021,3,5295
Asia,VHHH,2021,4,5215
Asia,VHHH,2021,5,5285
Asia,VHHH,2021,6,5401
Asia,VHHH,2021,7,5654
Asia,VHHH,2021,8,5387
Asia,VHHH,2021,9,5916
Asia,VHHH,2021,10,5134
Asia,VHHH,2021,11,5464
Asia,VHHH,2021,12,5608
Asia,VIDP,2021,1,12825
Asia,VIDP,2021,2,12400
Asia,VIDP,2021,3,13417
Asia,VIDP,2021,4,12047
Asia,VIDP,2021,5,6258
Asia,VIDP,2021,6,7170
Asia,VIDP,2021,7,9748
Asia,VIDP,2021,8,11794
Asia,VIDP,2021,9,11780
Asia,VIDP,2021,10,14751
Asia,VIDP,2021,11,15717
Asia,VIDP,2021,12,17636
Asia,ZGSZ,2021,1,7996
Asia,ZGSZ,2021,2,7863
Asia,ZGSZ,2021,3,11875
Asia,ZGSZ,2021,4,11941
Asia,ZGSZ,2021,5,10887
Asia,ZGSZ,2021,6,5381
Asia,ZGSZ,2021,7,6241
Asia,ZGSZ,2021,8,4800
Asia,ZGSZ,2021,9,5662
Asia,ZGSZ,2021,10,3445
Asia,ZGSZ,2021,11,2704
Asia,ZGSZ,2021,12,2926
Asia,OMDB,2022,1,9847
Asia,OMDB,2022,2,11121
Asia,OMDB,2022,3,13077
Asia,OMDB,2022,4,12048
Asia,OMDB,2022,5,10156
Asia,RJTT,2022,1,15519
Asia,RJTT,2022,2,10342
Asia,RJTT,2022,3,13574
Asia,RJTT,2022,4,14084
Asia,RJTT,2022,5,15288
Asia,VHHH,2022,1,4752
Asia,VHHH,2022,2,3125
Asia,VHHH,2022,3,3610
Asia,VHHH,2022,4,3142
Asia,VHHH,2022,5,2829
Asia,VIDP,2022,1,12708
Asia,VIDP,2022,2,12227
Asia,VIDP,2022,3,16192
Asia,VIDP,2022,4,16128
Asia,VIDP,2022,5,16407
Asia,ZGSZ,2022,1,3030
Asia,ZGSZ,2022,2,2546
Asia,ZGSZ,2022,3,1673
Asia,ZGSZ,2022,4,680
Asia,ZGSZ,2022,5,1
Europe,EDDF,2019,1,15592
Europe,EDDF,2019,2,15606
Europe,EDDF,2019,3,18182
Europe,EDDF,2019,4,18772
Europe,EDDF,2019,5,20111
Europe,EDDF,2019,6,19892
Europe,EDDF,2019,7,20604
Europe,EDDF,2019,8,20376
Europe,EDDF,2019,9,19711
Europe,EDDF,2019,10,20779
Europe,EDDF,2019,11,17904
Europe,EDDF,2019,12,16183
Europe,EGLL,2019,1,16749
Europe,EGLL,2019,2,16403
Europe,EGLL,2019,3,18569
Europe,EGLL,2019,4,18788
Europe,EGLL,2019,5,19241
Europe,EGLL,2019,6,18658
Europe,EGLL,2019,7,19545
Europe,EGLL,2019,8,19305
Europe,EGLL,2019,9,17030
Europe,EGLL,2019,10,19352
Europe,EGLL,2019,11,17817
Europe,EGLL,2019,12,16694
Europe,EHAM,2019,1,14334
Europe,EHAM,2019,2,14429
Europe,EHAM,2019,3,16290
Europe,EHAM,2019,4,17218
Europe,EHAM,2019,5,18363
Europe,EHAM,2019,6,17654
Europe,EHAM,2019,7,18370
Europe,EHAM,2019,8,18194
Europe,EHAM,2019,9,17195
Europe,EHAM,2019,10,18365
Europe,EHAM,2019,11,15587
Europe,EHAM,2019,12,15197
Europe,LEMD,2019,1,14190
Europe,LEMD,2019,2,13147
Europe,LEMD,2019,3,14701
Europe,LEMD,2019,4,14621
Europe,LEMD,2019,5,15995
Europe,LEMD,2019,6,16151
Europe,LEMD,2019,7,17058
Europe,LEMD,2019,8,16257
Europe,LEMD,2019,9,15653
Europe,LEMD,2019,10,16533
Europe,LEMD,2019,11,15078
Europe,LEMD,2019,12,14543
Europe,LFPG,2019,1,15133
Europe,LFPG,2019,2,14438
Europe,LFPG,2019,3,16550
Europe,LFPG,2019,4,17962
Europe,LFPG,2019,5,18402
Europe,LFPG,2019,6,18109
Europe,LFPG,2019,7,19710
Europe,LFPG,2019,8,19908
Europe,LFPG,2019,9,18309
Europe,LFPG,2019,10,19327
Europe,LFPG,2019,11,16736
Europe,LFPG,2019,12,15944
Europe,EDDF,2020,1,16329
Europe,EDDF,2020,2,16907
Europe,EDDF,2020,3,10731
Europe,EDDF,2020,4,2882
Europe,EDDF,2020,5,3469
Europe,EDDF,2020,6,4285
Europe,EDDF,2020,7,7133
Europe,EDDF,2020,8,8319
Europe,EDDF,2020,9,7928
Europe,EDDF,2020,10,7990
Europe,EDDF,2020,11,5857
Europe,EDDF,2020,12,6194
Europe,EGLL,2020,1,16664
Europe,EGLL,2020,2,16623
Europe,EGLL,2020,3,12413
Europe,EGLL,2020,4,2357
Europe,EGLL,2020,5,3017
Europe,EGLL,2020,6,3318
Europe,EGLL,2020,7,5629
Europe,EGLL,2020,8,7357
