period,origin_country,dest_country,flight_count
TP3,巴西,加拿大,243
TP3,巴西,瑞士,400
TP3,巴西,德国,857
TP3,巴西,西班牙,719
TP3,巴西,法国,779
TP3,巴西,北爱尔兰,437
TP3,巴西,印度,2
TP3,巴西,意大利,151
TP3,巴西,日本,4
TP3,巴西,荷兰,896
TP3,巴西,俄罗斯,7
TP3,巴西,土耳其,305
TP3,巴西,美国,5358
TP3,加拿大,澳大利亚,247
TP3,加拿大,巴西,198
TP3,加拿大,瑞士,847
TP3,加拿大,德国,2862
TP3,加拿大,西班牙,398
TP3,加拿大,法国,2873
TP3,加拿大,北爱尔兰,2993
TP3,加拿大,印度,859
TP3,加拿大,意大利,394
TP3,加拿大,日本,738
TP3,加拿大,荷兰,1624
TP3,加拿大,新西兰,20
TP3,加拿大,俄罗斯,31
TP3,加拿大,土耳其,620
TP3,加拿大,美国,64532
TP3,瑞士,澳大利亚,3
TP3,瑞士,巴西,341
TP3,瑞士,加拿大,856
TP3,瑞士,德国,20852
TP3,瑞士,西班牙,14644
TP3,瑞士,法国,10876
TP3,瑞士,北爱尔兰,10902
TP3,瑞士,印度,195
TP3,瑞士,意大利,9369
TP3,瑞士,日本,124
TP3,瑞士,荷兰,5709
TP3,瑞士,俄罗斯,2232
TP3,瑞士,土耳其,4628
TP3,瑞士,美国,3062
TP3,德国,澳大利亚,3
TP3,德国,巴西,1275
TP3,德国,加拿大,3088
TP3,德国,瑞士,20797
TP3,德国,西班牙,49380
TP3,德国,法国,20317
TP3,德国,北爱尔兰,31442
TP3,德国,印度,2478
TP3,德国,意大利,34108
TP3,德国,日本,1763
TP3,德国,荷兰,15502
TP3,德国,俄罗斯,7716
TP3,德国,土耳其,20458
TP3,德国,美国,20165
TP3,西班牙,澳大利亚,1
TP3,西班牙,巴西,612
TP3,西班牙,加拿大,409
TP3,西班牙,瑞士,14597
TP3,西班牙,德国,48925
TP3,西班牙,法国,25937
TP3,西班牙,北爱尔兰,44606
TP3,西班牙,印度,30
TP3,西班牙,意大利,24230
TP3,西班牙,日本,5
TP3,西班牙,荷兰,17693
TP3,西班牙,俄罗斯,1885
TP3,西班牙,土耳其,2227
TP3,西班牙,美国,4803
TP3,法国,澳大利亚,1
TP3,法国,巴西,710
